,Distance
"('C24', 'C35')",2.2
"('C24', 'C36')",15.16
"('C24', 'C37')",7.64
"('C24', 'C38')",8.38
"('C25', 'CD1')",31.11
"('C25', 'CD2')",4.72
"('C25', 'CD3')",32.18
"('C25', 'CD4')",27.53
"('C25', 'CD5')",12.93
"('C25', 'CD6')",16.52
"('C25', 'CD7')",12.25
"('C25', 'CD8')",22.22
"('C25', 'CD9')",29.64
"('C25', 'CD10')",2.94
"('C25', 'CD11')",18.45
"('C25', 'CD12')",7.64
"('C25', 'C1')",21.27
"('C25', 'C2')",30.49
"('C25', 'C3')",14.77
"('C25', 'C4')",28.06
"('C25', 'C5')",38.29
"('C25', 'C6')",33.61
"('C25', 'C7')",27.92
"('C25', 'C8')",15.98
"('C25', 'C9')",28.6
"('C25', 'C10')",17.5
"('C25', 'C11')",21.06
"('C25', 'C12')",16.93
"('C25', 'C13')",20.27
"('C25', 'C14')",15.73
"('C25', 'C15')",10.22
"('C25', 'C16')",13.47
"('C25', 'C17')",19.27
"('C25', 'C18')",10.48
"('C25', 'C19')",18.63
"('C25', 'C20')",21.35
"('C25', 'C21')",26.94
"('C25', 'C22')",8.59
"('C25', 'C23')",8.72
"('C25', 'C24')",13.25
"('C25', 'C25')",0.0
"('C25', 'C26')",18.78
"('C25', 'C27')",4.45
"('C25', 'C28')",15.67
"('C25', 'C29')",26.57
"('C25', 'C30')",14.01
"('C25', 'C31')",37.76
"('C25', 'C32')",19.74
"('C25', 'C33')",20.24
"('C25', 'C34')",10.35
"('C25', 'C35')",11.79
"('C25', 'C36')",10.31
"('C25', 'C37')",7.44
"('C25', 'C38')",19.39
"('C26', 'CD1')",17.9
"('C26', 'CD2')",21.03
"('C26', 'CD3')",24.89
"('C26', 'CD4')",14.32
"('C26', 'CD5')",8.34
"('C26', 'CD6')",3.82
"('C26', 'CD7')",8.32
"('C26', 'CD8')",6.94
"('C26', 'CD9')",16.44
"('C26', 'CD10')",18.72
"('C26', 'CD11')",7.68
"('C26', 'CD12')",12.85
"('C26', 'C1')",2.6
"('C26', 'C2')",23.19
"('C26', 'C3')",7.19
"('C26', 'C4')",20.77
"('C26', 'C5')",31.0
"('C26', 'C6')",26.32
"('C26', 'C7')",14.71
"('C26', 'C8')",18.71
"('C26', 'C9')",10.78
"('C26', 'C10')",14.8
"('C26', 'C11')",3.04
"('C26', 'C12')",17.11
"('C26', 'C13')",5.44
"('C26', 'C14')",15.53
"('C26', 'C15')",10.33
"('C26', 'C16')",8.05
"('C26', 'C17')",6.3
"('C26', 'C18')",9.85
"('C26', 'C19')",9.13
"('C26', 'C20')",16.92
"('C26', 'C21')",10.75
"('C26', 'C22')",11.52
"('C26', 'C23')",10.57
"('C26', 'C24')",10.61
"('C26', 'C25')",18.91
"('C26', 'C26')",0.0
"('C26', 'C27')",14.85
"('C26', 'C28')",6.15
"('C26', 'C29')",9.44
"('C26', 'C30')",5.23
"('C26', 'C31')",30.46
"('C26', 'C32')",1.52
"('C26', 'C33')",9.95
"('C26', 'C34')",9.69
"('C26', 'C35')",11.9
"('C26', 'C36')",13.73
"('C26', 'C37')",11.93
"('C26', 'C38')",4.46
"('C27', 'CD1')",27.37
"('C27', 'CD2')",6.67
"('C27', 'CD3')",28.45
"('C27', 'CD4')",23.79
"('C27', 'CD5')",8.35
"('C27', 'CD6')",12.78
"('C27', 'CD7')",8.51
"('C27', 'CD8')",18.48
"('C27', 'CD9')",25.91
"('C27', 'CD10')",4.36
"('C27', 'CD11')",14.71
"('C27', 'CD12')",3.82
"('C27', 'C1')",17.53
"('C27', 'C2')",26.75
"('C27', 'C3')",10.19
"('C27', 'C4')",24.33
"('C27', 'C5')",34.55
"('C27', 'C6')",29.88
"('C27', 'C7')",24.18
"('C27', 'C8')",12.68
"('C27', 'C9')",24.86
"('C27', 'C10')",13.76
"('C27', 'C11')",17.33
"('C27', 'C12')",13.19
"('C27', 'C13')",14.51
"('C27', 'C14')",11.99
"('C27', 'C15')",6.49
"('C27', 'C16')",8.89
"('C27', 'C17')",13.51
"('C27', 'C18')",5.9
"('C27', 'C19')",14.05
"('C27', 'C20')",17.61
"('C27', 'C21')",23.2
"('C27', 'C22')",5.35
"('C27', 'C23')",4.98
"('C27', 'C24')",9.51
"('C27', 'C25')",4.55
"('C27', 'C26')",15.05
"('C27', 'C27')",0.0
"('C27', 'C28')",11.09
"('C27', 'C29')",22.83
"('C27', 'C30')",10.27
"('C27', 'C31')",34.02
"('C27', 'C32')",16.0
"('C27', 'C33')",15.66
"('C27', 'C34')",6.61
"('C27', 'C35')",8.06
"('C27', 'C36')",8.7
"('C27', 'C37')",2.86
"('C27', 'C38')",15.65
"('C28', 'CD1')",17.37
"('C28', 'CD2')",18.63
"('C28', 'CD3')",24.36
"('C28', 'CD4')",13.79
"('C28', 'CD5')",4.26
"('C28', 'CD6')",2.99
"('C28', 'CD7')",7.76
"('C28', 'CD8')",8.02
"('C28', 'CD9')",15.9
"('C28', 'CD10')",13.48
"('C28', 'CD11')",7.85
"('C28', 'CD12')",8.79
"('C28', 'C1')",8.04
"('C28', 'C2')",22.66
"('C28', 'C3')",3.11
"('C28', 'C4')",20.24
"('C28', 'C5')",30.46
"('C28', 'C6')",25.79
"('C28', 'C7')",14.18
"('C28', 'C8')",14.64
"('C28', 'C9')",14.86
"('C28', 'C10')",15.25
"('C28', 'C11')",7.84
"('C28', 'C12')",17.56
"('C28', 'C13')",4.76
"('C28', 'C14')",15.97
"('C28', 'C15')",9.76
"('C28', 'C16')",3.97
"('C28', 'C17')",3.76
"('C28', 'C18')",7.62
"('C28', 'C19')",8.97
"('C28', 'C20')",16.26
"('C28', 'C21')",13.34
"('C28', 'C22')",8.18
"('C28', 'C23')",10.01
"('C28', 'C24')",10.05
"('C28', 'C25')",18.35
"('C28', 'C26')",5.56
"('C28', 'C27')",14.29
"('C28', 'C28')",0.0
"('C28', 'C29')",12.97
"('C28', 'C30')",4.67
"('C28', 'C31')",29.93
"('C28', 'C32')",6.52
"('C28', 'C33')",9.79
"('C28', 'C34')",9.13
"('C28', 'C35')",11.33
"('C28', 'C36')",9.65
"('C28', 'C37')",11.36
"('C28', 'C38')",5.98
"('C29', 'CD1')",7.36
"('C29', 'CD2')",27.27
"('C29', 'CD3')",16.38
"('C29', 'CD4')",5.72
"('C29', 'CD5')",17.08
"('C29', 'CD6')",13.51
"('C29', 'CD7')",15.38
"('C29', 'CD8')",6.76
"('C29', 'CD9')",4.09
"('C29', 'CD10')",24.96
"('C29', 'CD11')",8.73
"('C29', 'CD12')",20.57
"('C29', 'C1')",10.21
"('C29', 'C2')",14.68
"('C29', 'C3')",17.59
"('C29', 'C4')",12.26
"('C29', 'C5')",22.48
"('C29', 'C6')",17.81
"('C29', 'C7')",6.15
"('C29', 'C8')",30.19
"('C29', 'C9')",2.69
"('C29', 'C10')",9.41
"('C29', 'C11')",9.49
"('C29', 'C12')",11.72
"('C29', 'C13')",12.5
"('C29', 'C14')",10.13
"('C29', 'C15')",16.45
"('C29', 'C16')",18.45
"('C29', 'C17')",17.99
"('C29', 'C18')",17.91
"('C29', 'C19')",16.19
"('C29', 'C20')",11.53
"('C29', 'C21')",1.02
"('C29', 'C22')",20.49
"('C29', 'C23')",17.23
"('C29', 'C24')",12.84
"('C29', 'C25')",25.16
"('C29', 'C26')",9.43
"('C29', 'C27')",21.1
"('C29', 'C28')",15.23
"('C29', 'C29')",0.0
"('C29', 'C30')",14.29
"('C29', 'C31')",21.95
"('C29', 'C32')",8.65
"('C29', 'C33')",17.01
"('C29', 'C34')",16.43
"('C29', 'C35')",14.54
"('C29', 'C36')",22.83
"('C29', 'C37')",18.15
"('C29', 'C38')",7.97
"('C30', 'CD1')",17.08
"('C30', 'CD2')",16.46
"('C30', 'CD3')",23.5
"('C30', 'CD4')",13.5
"('C30', 'CD5')",7.39
"('C30', 'CD6')",3.18
"('C30', 'CD7')",3.75
"('C30', 'CD8')",8.29
"('C30', 'CD9')",15.61
"('C30', 'CD10')",14.15
"('C30', 'CD11')",4.96
"('C30', 'CD12')",9.44
"('C30', 'C1')",7.93
"('C30', 'C2')",21.81
"('C30', 'C3')",6.23
"('C30', 'C4')",19.38
"('C30', 'C5')",29.61
"('C30', 'C6')",24.93
"('C30', 'C7')",13.88
"('C30', 'C8')",18.71
"('C30', 'C9')",14.57
"('C30', 'C10')",10.55
"('C30', 'C11')",7.73
"('C30', 'C12')",12.86
"('C30', 'C13')",7.63
"('C30', 'C14')",11.27
"('C30', 'C15')",5.75
"('C30', 'C16')",7.09
"('C30', 'C17')",6.63
"('C30', 'C18')",6.44
"('C30', 'C19')",11.84
"('C30', 'C20')",11.56
"('C30', 'C21')",12.91
"('C30', 'C22')",8.1
"('C30', 'C23')",6.0
"('C30', 'C24')",6.04
"('C30', 'C25')",14.34
"('C30', 'C26')",5.45
"('C30', 'C27')",10.28
"('C30', 'C28')",3.72
"('C30', 'C29')",12.54
"('C30', 'C30')",0.0
"('C30', 'C31')",29.08
"('C30', 'C32')",6.41
"('C30', 'C33')",12.66
"('C30', 'C34')",5.12
"('C30', 'C35')",7.32
"('C30', 'C36')",11.35
"('C30', 'C37')",7.35
"('C30', 'C38')",5.39
"('C31', 'CD1')",13.62
"('C31', 'CD2')",38.6
"('C31', 'CD3')",7.52
"('C31', 'CD4')",15.48
"('C31', 'CD5')",31.82
"('C31', 'CD6')",27.91
"('C31', 'CD7')",26.7
"('C31', 'CD8')",24.58
"('C31', 'CD9')",15.4
"('C31', 'CD10')",36.29
"('C31', 'CD11')",24.49
"('C31', 'CD12')",31.9
"('C31', 'C1')",29.91
"('C31', 'C2')",14.73
"('C31', 'C3')",30.66
"('C31', 'C4')",13.51
"('C31', 'C5')",2.99
"('C31', 'C6')",6.76
"('C31', 'C7')",14.49
"('C31', 'C8')",41.38
"('C31', 'C9')",20.45
"('C31', 'C10')",19.57
"('C31', 'C11')",29.19
"('C31', 'C12')",21.02
"('C31', 'C13')",31.71
"('C31', 'C14')",20.29
"('C31', 'C15')",27.78
"('C31', 'C16')",31.52
"('C31', 'C17')",34.13
"('C31', 'C18')",31.71
"('C31', 'C19')",35.4
"('C31', 'C20')",18.63
"('C31', 'C21')",23.53
"('C31', 'C22')",31.81
"('C31', 'C23')",28.56
"('C31', 'C24')",24.17
"('C31', 'C25')",36.48
"('C31', 'C26')",29.13
"('C31', 'C27')",32.42
"('C31', 'C28')",29.85
"('C31', 'C29')",20.33
"('C31', 'C30')",28.92
"('C31', 'C31')",0.0
"('C31', 'C32')",28.34
"('C31', 'C33')",36.22
"('C31', 'C34')",27.75
"('C31', 'C35')",24.7
"('C31', 'C36')",36.97
"('C31', 'C37')",29.48
"('C31', 'C38')",25.19
"('C32', 'CD1')",17.09
"('C32', 'CD2')",22.57
"('C32', 'CD3')",24.08
"('C32', 'CD4')",13.51
"('C32', 'CD5')",9.89
"('C32', 'CD6')",5.36
"('C32', 'CD7')",9.87
"('C32', 'CD8')",6.13
"('C32', 'CD9')",15.63
"('C32', 'CD10')",20.26
"('C32', 'CD11')",6.87
"('C32', 'CD12')",14.4
"('C32', 'C1')",2.25
"('C32', 'C2')",22.38
"('C32', 'C3')",8.73
"('C32', 'C4')",19.96
"('C32', 'C5')",30.18
"('C32', 'C6')",25.51
"('C32', 'C7')",13.9
"('C32', 'C8')",20.26
"('C32', 'C9')",9.97
"('C32', 'C10')",13.99
"('C32', 'C11')",1.53
"('C32', 'C12')",16.3
"('C32', 'C13')",6.78
"('C32', 'C14')",14.71
"('C32', 'C15')",11.87
"('C32', 'C16')",9.59
"('C32', 'C17')",7.64
"('C32', 'C18')",11.4
"('C32', 'C19')",10.47
"('C32', 'C20')",16.11
"('C32', 'C21')",9.94
"('C32', 'C22')",13.06
"('C32', 'C23')",12.11
"('C32', 'C24')",11.14
"('C32', 'C25')",20.46
"('C32', 'C26')",1.99
"('C32', 'C27')",16.4
"('C32', 'C28')",7.7
"('C32', 'C29')",8.62
"('C32', 'C30')",6.78
"('C32', 'C31')",29.65
"('C32', 'C32')",0.0
"('C32', 'C33')",11.29
"('C32', 'C34')",11.24
"('C32', 'C35')",13.44
"('C32', 'C36')",15.28
"('C32', 'C37')",13.47
"('C32', 'C38')",3.67
"('C33', 'CD1')",26.79
"('C33', 'CD2')",21.08
"('C33', 'CD3')",33.78
"('C33', 'CD4')",23.21
"('C33', 'CD5')",9.03
"('C33', 'CD6')",12.41
"('C33', 'CD7')",14.42
"('C33', 'CD8')",14.94
"('C33', 'CD9')",25.32
"('C33', 'CD10')",16.66
"('C33', 'CD11')",16.83
"('C33', 'CD12')",12.66
"('C33', 'C1')",13.29
"('C33', 'C2')",32.08
"('C33', 'C3')",9.18
"('C33', 'C4')",29.66
"('C33', 'C5')",39.88
"('C33', 'C6')",35.21
"('C33', 'C7')",23.6
"('C33', 'C8')",16.78
"('C33', 'C9')",24.28
"('C33', 'C10')",22.41
"('C33', 'C11')",12.77
"('C33', 'C12')",24.73
"('C33', 'C13')",5.06
"('C33', 'C14')",23.14
"('C33', 'C15')",15.6
"('C33', 'C16')",8.4
"('C33', 'C17')",7.17
"('C33', 'C18')",10.29
"('C33', 'C19')",2.5
"('C33', 'C20')",23.42
"('C33', 'C21')",22.76
"('C33', 'C22')",11.55
"('C33', 'C23')",16.38
"('C33', 'C24')",16.71
"('C33', 'C25')",19.22
"('C33', 'C26')",10.81
"('C33', 'C27')",16.11
"('C33', 'C28')",9.83
"('C33', 'C29')",17.43
"('C33', 'C30')",12.77
"('C33', 'C31')",39.35
"('C33', 'C32')",11.45
"('C33', 'C33')",0.0
"('C33', 'C34')",16.69
"('C33', 'C35')",17.99
"('C33', 'C36')",9.42
"('C33', 'C37')",13.77
"('C33', 'C38')",12.46
"('C34', 'CD1')",20.69
"('C34', 'CD2')",11.34
"('C34', 'CD3')",23.09
"('C34', 'CD4')",17.11
"('C34', 'CD5')",8.3
"('C34', 'CD6')",7.65
"('C34', 'CD7')",3.15
"('C34', 'CD8')",13.13
"('C34', 'CD9')",19.22
"('C34', 'CD10')",9.02
"('C34', 'CD11')",9.36
"('C34', 'CD12')",6.03
"('C34', 'C1')",12.4
"('C34', 'C2')",21.39
"('C34', 'C3')",10.01
"('C34', 'C4')",18.97
"('C34', 'C5')",29.19
"('C34', 'C6')",24.52
"('C34', 'C7')",17.49
"('C34', 'C8')",14.72
"('C34', 'C9')",18.18
"('C34', 'C10')",8.4
"('C34', 'C11')",12.2
"('C34', 'C12')",10.85
"('C34', 'C13')",11.4
"('C34', 'C14')",9.66
"('C34', 'C15')",0.83
"('C34', 'C16')",10.87
"('C34', 'C17')",10.41
"('C34', 'C18')",5.84
"('C34', 'C19')",14.0
"('C34', 'C20')",12.25
"('C34', 'C21')",16.52
"('C34', 'C22')",5.95
"('C34', 'C23')",0.87
"('C34', 'C24')",4.15
"('C34', 'C25')",9.22
"('C34', 'C26')",9.92
"('C34', 'C27')",5.16
"('C34', 'C28')",8.25
"('C34', 'C29')",16.15
"('C34', 'C30')",5.14
"('C34', 'C31')",28.66
"('C34', 'C32')",10.88
"('C34', 'C33')",15.61
"('C34', 'C34')",0.0
"('C34', 'C35')",5.94
"('C34', 'C36')",11.1
"('C34', 'C37')",2.67
"('C34', 'C38')",10.52
"('C35', 'CD1')",17.73
"('C35', 'CD2')",14.62
"('C35', 'CD3')",20.39
"('C35', 'CD4')",14.15
"('C35', 'CD5')",13.58
"('C35', 'CD6')",10.07
"('C35', 'CD7')",5.9
"('C35', 'CD8')",10.47
"('C35', 'CD9')",16.27
"('C35', 'CD10')",12.31
"('C35', 'CD11')",8.13
"('C35', 'CD12')",11.1
"('C35', 'C1')",14.82
"('C35', 'C2')",18.69
"('C35', 'C3')",12.43
"('C35', 'C4')",16.27
"('C35', 'C5')",26.49
"('C35', 'C6')",21.82
"('C35', 'C7')",14.54
"('C35', 'C8')",20.58
"('C35', 'C9')",15.22
"('C35', 'C10')",4.63
"('C35', 'C11')",14.62
"('C35', 'C12')",5.44
"('C35', 'C13')",13.82
"('C35', 'C14')",4.24
"('C35', 'C15')",6.98
"('C35', 'C16')",13.29
"('C35', 'C17')",12.83
"('C35', 'C18')",10.91
"('C35', 'C19')",18.04
"('C35', 'C20')",7.97
"('C35', 'C21')",13.56
"('C35', 'C22')",11.01
"('C35', 'C23')",6.48
"('C35', 'C24')",2.61
"('C35', 'C25')",12.51
"('C35', 'C26')",12.34
"('C35', 'C27')",8.45
"('C35', 'C28')",10.67
"('C35', 'C29')",13.19
"('C35', 'C30')",7.56
"('C35', 'C31')",25.96
"('C35', 'C32')",13.3
"('C35', 'C33')",18.86
"('C35', 'C34')",5.93
"('C35', 'C35')",0.0
"('C35', 'C36')",16.17
"('C35', 'C37')",8.16
"('C35', 'C38')",10.15
"('C36', 'CD1')",24.94
"('C36', 'CD2')",12.49
"('C36', 'CD3')",31.93
"('C36', 'CD4')",21.36
"('C36', 'CD5')",5.24
"('C36', 'CD6')",10.56
"('C36', 'CD7')",11.76
"('C36', 'CD8')",15.59
"('C36', 'CD9')",23.48
"('C36', 'CD10')",8.07
"('C36', 'CD11')",13.77
"('C36', 'CD12')",5.55
"('C36', 'C1')",15.61
"('C36', 'C2')",30.23
"('C36', 'C3')",7.07
"('C36', 'C4')",27.81
"('C36', 'C5')",38.03
"('C36', 'C6')",33.36
"('C36', 'C7')",21.75
"('C36', 'C8')",8.19
"('C36', 'C9')",22.43
"('C36', 'C10')",16.45
"('C36', 'C11')",15.41
"('C36', 'C12')",21.67
"('C36', 'C13')",9.07
"('C36', 'C14')",20.08
"('C36', 'C15')",9.08
"('C36', 'C16')",5.78
"('C36', 'C17')",10.4
"('C36', 'C18')",4.36
"('C36', 'C19')",7.96
"('C36', 'C20')",20.37
"('C36', 'C21')",20.91
"('C36', 'C22')",3.14
"('C36', 'C23')",9.86
"('C36', 'C24')",12.19
"('C36', 'C25')",10.63
"('C36', 'C26')",13.13
"('C36', 'C27')",9.57
"('C36', 'C28')",7.98
"('C36', 'C29')",20.54
"('C36', 'C30')",9.72
"('C36', 'C31')",37.5
"('C36', 'C32')",14.09
"('C36', 'C33')",9.56
"('C36', 'C34')",9.22
"('C36', 'C35')",15.33
"('C36', 'C36')",0.0
"('C36', 'C37')",7.65
"('C36', 'C38')",13.55
"('C37', 'CD1')",23.92
"('C37', 'CD2')",9.16
"('C37', 'CD3')",25.08
"('C37', 'CD4')",20.34
"('C37', 'CD5')",6.26
"('C37', 'CD6')",9.33
"('C37', 'CD7')",5.38
"('C37', 'CD8')",15.27
"('C37', 'CD9')",22.46
"('C37', 'CD10')",6.85
"('C37', 'CD11')",11.5
"('C37', 'CD12')",3.31
"('C37', 'C1')",14.08
"('C37', 'C2')",23.38
"('C37', 'C3')",8.09
"('C37', 'C4')",20.95
"('C37', 'C5')",31.18
"('C37', 'C6')",26.5
"('C37', 'C7')",20.73
"('C37', 'C8')",12.18
"('C37', 'C9')",21.41
"('C37', 'C10')",10.39
"('C37', 'C11')",13.88
"('C37', 'C12')",12.83
"('C37', 'C13')",12.42
"('C37', 'C14')",11.65
"('C37', 'C15')",3.03
"('C37', 'C16')",6.8
"('C37', 'C17')",11.42
"('C37', 'C18')",3.8
"('C37', 'C19')",11.96
"('C37', 'C20')",14.24
"('C37', 'C21')",19.75
"('C37', 'C22')",3.89
"('C37', 'C23')",3.8
"('C37', 'C24')",6.14
"('C37', 'C25')",7.31
"('C37', 'C26')",11.6
"('C37', 'C27')",3.25
"('C37', 'C28')",9.0
"('C37', 'C29')",19.38
"('C37', 'C30')",6.82
"('C37', 'C31')",30.65
"('C37', 'C32')",12.55
"('C37', 'C33')",13.57
"('C37', 'C34')",3.16
"('C37', 'C35')",8.75
"('C37', 'C36')",9.06
"('C37', 'C37')",0.0
"('C37', 'C38')",12.2
"('C38', 'CD1')",14.56
"('C38', 'CD2')",20.34
"('C38', 'CD3')",21.55
"('C38', 'CD4')",10.98
"('C38', 'CD5')",7.59
"('C38', 'CD6')",3.54
"('C38', 'CD7')",7.63
"('C38', 'CD8')",5.21
"('C38', 'CD9')",13.09
"('C38', 'CD10')",18.03
"('C38', 'CD11')",3.72
"('C38', 'CD12')",12.18
"('C38', 'C1')",7.12
"('C38', 'C2')",19.85
"('C38', 'C3')",6.44
"('C38', 'C4')",17.43
"('C38', 'C5')",27.65
"('C38', 'C6')",22.98
"('C38', 'C7')",11.36
"('C38', 'C8')",17.96
"('C38', 'C9')",12.05
"('C38', 'C10')",11.46
"('C38', 'C11')",6.09
"('C38', 'C12')",13.77
"('C38', 'C13')",7.49
"('C38', 'C14')",12.18
"('C38', 'C15')",9.64
"('C38', 'C16')",7.29
"('C38', 'C17')",7.09
"('C38', 'C18')",9.18
"('C38', 'C19')",11.18
"('C38', 'C20')",13.58
"('C38', 'C21')",10.52
"('C38', 'C22')",10.84
"('C38', 'C23')",9.88
"('C38', 'C24')",6.95
"('C38', 'C25')",18.23
"('C38', 'C26')",4.64
"('C38', 'C27')",14.17
"('C38', 'C28')",5.48
"('C38', 'C29')",10.15
"('C38', 'C30')",4.54
"('C38', 'C31')",27.12
"('C38', 'C32')",4.96
"('C38', 'C33')",11.99
"('C38', 'C34')",9.01
"('C38', 'C35')",11.21
"('C38', 'C36')",14.09
"('C38', 'C37')",11.24
"('C38', 'C38')",0.0
"('C39', 'C39')",0.0
"('C39', 'C40')",7.22
"('C39', 'C41')",10.08
"('C39', 'C42')",14.72
"('C39', 'C43')",3.98
"('C39', 'C44')",6.31
"('C39', 'C45')",8.09
"('C39', 'C46')",14.92
"('C39', 'C47')",17.05
"('C39', 'C48')",7.35
"('C39', 'C49')",18.38
"('C39', 'C50')",2.72
"('C39', 'C51')",11.61
"('C39', 'C52')",12.91
"('C39', 'C53')",12.17
"('C39', 'C54')",9.97
"('C39', 'C55')",6.45
"('C39', 'C56')",4.97
"('C39', 'C57')",4.23
"('C39', 'C58')",17.42
"('C39', 'C59')",5.97
"('C39', 'C60')",14.09
"('C39', 'C61')",19.92
"('C39', 'C62')",7.75
"('C39', 'C63')",12.15
"('C39', 'C64')",12.78
"('C39', 'C65')",16.58
"('C39', 'C66')",16.11
"('C39', 'C67')",14.12
"('C39', 'C68')",11.92
"('C39', 'C69')",7.46
"('C39', 'C70')",12.28
"('C39', 'C71')",17.63
"('C39', 'C72')",9.26
"('C39', 'C73')",8.33
"('C39', 'C74')",12.39
"('C39', 'C75')",11.66
"('C39', 'C76')",16.22
"('C39', 'C77')",26.23
"('C39', 'C78')",9.29
"('C39', 'C79')",9.4
"('C39', 'C80')",10.06
"('C39', 'C81')",11.57
"('C39', 'C82')",10.61
"('C39', 'C83')",11.71
"('C39', 'C84')",4.95
"('C39', 'C85')",3.5
"('C39', 'C86')",15.96
"('C39', 'C87')",13.8
"('C39', 'C88')",14.14
"('C40', 'C39')",8.02
"('C40', 'C40')",0.0
"('C40', 'C41')",6.86
"('C40', 'C42')",19.22
"('C40', 'C43')",6.38
"('C40', 'C44')",5.39
"('C40', 'C45')",11.5
"('C40', 'C46')",18.33
"('C40', 'C47')",13.83
"('C40', 'C48')",10.76
"('C40', 'C49')",11.2
"('C40', 'C50')",4.85
"('C40', 'C51')",15.02
"('C40', 'C52')",19.3
"('C40', 'C53')",18.56
"('C40', 'C54')",16.36
"('C40', 'C55')",10.41
"('C40', 'C56')",12.94
"('C40', 'C57')",5.74
"('C40', 'C58')",10.38
"('C40', 'C59')",12.21
"('C40', 'C60')",17.5
"('C40', 'C61')",12.74
"('C40', 'C62')",7.16
"('C40', 'C63')",8.93
"('C40', 'C64')",17.28
"('C40', 'C65')",19.99
"('C40', 'C66')",12.89
"('C40', 'C67')",7.08
"('C40', 'C68')",18.26
"('C40', 'C69')",3.9
"('C40', 'C70')",18.62
"('C40', 'C71')",10.45
"('C40', 'C72')",6.35
"('C40', 'C73')",14.72
"('C40', 'C74')",7.53
"('C40', 'C75')",15.43
"('C40', 'C76')",19.62
"('C40', 'C77')",23.01
"('C40', 'C78')",2.49
"('C40', 'C79')",15.74
"('C40', 'C80')",16.45
"('C40', 'C81')",8.34
"('C40', 'C82')",7.39
"('C40', 'C83')",18.1
"('C40', 'C84')",9.38
"('C40', 'C85')",8.83
"('C40', 'C86')",22.35
"('C40', 'C87')",18.3
"('C40', 'C88')",19.44
"('C41', 'C39')",12.45
"('C41', 'C40')",6.1
"('C41', 'C41')",0.0
"('C41', 'C42')",25.27
"('C41', 'C43')",7.67
"('C41', 'C44')",11.17
"('C41', 'C45')",18.65
"('C41', 'C46')",22.88
"('C41', 'C47')",11.0
"('C41', 'C48')",17.9
"('C41', 'C49')",16.25
"('C41', 'C50')",7.39
"('C41', 'C51')",19.57
"('C41', 'C52')",20.59
"('C41', 'C53')",19.85
"('C41', 'C54')",17.65
"('C41', 'C55')",17.01
"('C41', 'C56')",14.41
"('C41', 'C57')",10.73
"('C41', 'C58')",12.3
"('C41', 'C59')",13.5
"('C41', 'C60')",22.06
"('C41', 'C61')",13.08
"('C41', 'C62')",12.21
"('C41', 'C63')",3.68
"('C41', 'C64')",23.33
"('C41', 'C65')",24.54
"('C41', 'C66')",10.06
"('C41', 'C67')",6.75
"('C41', 'C68')",19.55
"('C41', 'C69')",3.25
"('C41', 'C70')",19.91
"('C41', 'C71')",15.5
"('C41', 'C72')",1.85
"('C41', 'C73')",12.74
"('C41', 'C74')",6.34
"('C41', 'C75')",20.48
"('C41', 'C76')",24.18
"('C41', 'C77')",20.18
"('C41', 'C78')",8.28
"('C41', 'C79')",17.03
"('C41', 'C80')",17.74
"('C41', 'C81')",2.31
"('C41', 'C82')",1.35
"('C41', 'C83')",19.4
"('C41', 'C84')",8.57
"('C41', 'C85')",14.05
"('C41', 'C86')",23.65
"('C41', 'C87')",24.35
"('C41', 'C88')",21.05
"('C42', 'C39')",14.08
"('C42', 'C40')",18.87
"('C42', 'C41')",23.32
"('C42', 'C42')",0.0
"('C42', 'C43')",18.3
"('C42', 'C44')",13.57
"('C42', 'C45')",10.47
"('C42', 'C46')",6.12
"('C42', 'C47')",29.81
"('C42', 'C48')",8.39
"('C42', 'C49')",27.8
"('C42', 'C50')",17.24
"('C42', 'C51')",8.17
"('C42', 'C52')",18.77
"('C42', 'C53')",18.03
"('C42', 'C54')",15.56
"('C42', 'C55')",9.45
"('C42', 'C56')",12.93
"('C42', 'C57')",16.29
"('C42', 'C58')",26.84
"('C42', 'C59')",13.33
"('C42', 'C60')",7.58
"('C42', 'C61')",29.34
"('C42', 'C62')",14.39
"('C42', 'C63')",26.5
"('C42', 'C64')",2.4
"('C42', 'C65')",3.79
"('C42', 'C66')",28.87
"('C42', 'C67')",23.54
"('C42', 'C68')",13.71
"('C42', 'C69')",21.48
"('C42', 'C70')",13.86
"('C42', 'C71')",27.05
"('C42', 'C72')",23.92
"('C42', 'C73')",17.49
"('C42', 'C74')",23.99
"('C42', 'C75')",15.63
"('C42', 'C76')",4.11
"('C42', 'C77')",38.99
"('C42', 'C78')",18.71
"('C42', 'C79')",12.29
"('C42', 'C80')",15.92
"('C42', 'C81')",24.81
"('C42', 'C82')",23.85
"('C42', 'C83')",17.57
"('C42', 'C84')",16.66
"('C42', 'C85')",11.9
"('C42', 'C86')",21.82
"('C42', 'C87')",8.15
"('C42', 'C88')",10.94
"('C43', 'C39')",2.89
"('C43', 'C40')",5.5
"('C43', 'C41')",8.27
"('C43', 'C42')",16.97
"('C43', 'C43')",0.0
"('C43', 'C44')",6.18
"('C43', 'C45')",10.35
"('C43', 'C46')",16.64
"('C43', 'C47')",15.24
"('C43', 'C48')",9.6
"('C43', 'C49')",17.0
"('C43', 'C50')",1.21
"('C43', 'C51')",13.33
"('C43', 'C52')",14.35
"('C43', 'C53')",13.61
"('C43', 'C54')",11.41
"('C43', 'C55')",8.71
