origen,destino,distancia_km
C33,CD9,25.32
C33,CD10,16.66
C33,CD11,16.83
C33,CD12,12.66
C33,C1,13.29
C33,C2,32.08
C33,C3,9.18
C33,C4,29.66
C33,C5,39.88
C33,C6,35.21
C33,C7,23.6
C33,C8,16.78
C33,C9,24.28
C33,C10,22.41
C33,C11,12.77
C33,C12,24.73
C33,C13,5.06
C33,C14,23.14
C33,C15,15.6
C33,C16,8.4
C33,C17,7.17
C33,C18,10.29
C33,C19,2.5
C33,C20,23.42
C33,C21,22.76
C33,C22,11.55
C34,CD1,20.69
C34,CD2,11.34
C34,CD3,23.09
C34,CD4,17.11
C34,CD5,8.3
C34,CD6,7.65
C34,CD7,3.15
C34,CD8,13.13
C34,CD9,19.22
C34,CD10,9.02
C34,CD11,9.36
C34,CD12,6.03
C34,C1,12.4
C34,C2,21.39
C34,C3,10.01
C34,C4,18.97
C34,C5,29.19
C34,C6,24.52
C34,C7,17.49
C34,C8,14.72
C34,C9,18.18
C34,C10,8.4
C34,C11,12.2
C34,C12,10.85
C34,C13,11.4
C34,C14,9.66
C34,C15,0.83
C34,C16,10.87
C34,C17,10.41
C34,C18,5.84
C34,C19,14.0
C34,C20,12.25
C34,C21,16.52
C34,C22,5.95
C35,CD1,17.73
C35,CD2,14.62
C35,CD3,20.39
C35,CD4,14.15
C35,CD5,13.58
C35,CD6,10.07
C35,CD7,5.9
C35,CD8,10.47
C35,CD9,16.27
C35,CD10,12.31
C35,CD11,8.13
C35,CD12,11.1
C35,C1,14.82
C35,C2,18.69
C35,C3,12.43
C35,C4,16.27
C35,C5,26.49
C35,C6,21.82
C35,C7,14.54
C35,C8,20.58
C35,C9,15.22
C35,C10,4.63
C35,C11,14.62
C35,C12,5.44
C35,C13,13.82
C35,C14,4.24
C35,C15,6.98
C35,C16,13.29
C35,C17,12.83
C35,C18,10.91
C35,C19,18.04
C35,C20,7.97
C35,C21,13.56
C35,C22,11.01
C36,CD1,24.94
C36,CD2,12.49
C36,CD3,31.93
C36,CD4,21.36
C36,CD5,5.24
C36,CD6,10.56
C36,CD7,11.76
C36,CD8,15.59
C36,CD9,23.48
C36,CD10,8.07
C36,CD11,13.77
C36,CD12,5.55
C36,C1,15.61
C36,C2,30.23
C36,C3,7.07
C36,C4,27.81
C36,C5,38.03
C36,C6,33.36
C36,C7,21.75
C36,C8,8.19
C36,C9,22.43
C36,C10,16.45
C36,C11,15.41
C36,C12,21.67
C36,C13,9.07
C36,C14,20.08
C36,C15,9.08
C36,C16,5.78
C36,C17,10.4
C36,C18,4.36
C36,C19,7.96
C36,C20,20.37
C36,C21,20.91
C36,C22,3.14
C37,CD1,23.92
C37,CD2,9.16
C37,CD3,25.08
C37,CD4,20.34
C37,CD5,6.26
C37,CD6,9.33
C37,CD7,5.38
C37,CD8,15.27
C37,CD9,22.46
C37,CD10,6.85
C37,CD11,11.5
C37,CD12,3.31
C37,C1,14.08
C37,C2,23.38
C37,C3,8.09
C37,C4,20.95
C37,C5,31.18
C37,C6,26.5
C37,C7,20.73
C37,C8,12.18
C37,C9,21.41
C37,C10,10.39
C37,C11,13.88
C37,C12,12.83
C37,C13,12.42
C37,C14,11.65
C37,C15,3.03
C37,C16,6.8
C37,C17,11.42
C37,C18,3.8
C37,C19,11.96
C37,C20,14.24
C37,C21,19.75
C37,C22,3.89
C38,CD1,14.56
C38,CD2,20.34
C38,CD3,21.55
C38,CD4,10.98
C38,CD5,7.59
C38,CD6,3.54
C38,CD7,7.63
C38,CD8,5.21
C38,CD9,13.09
C38,CD10,18.03
C38,CD11,3.72
C38,CD12,12.18
C38,C1,7.12
C38,C2,19.85
C38,C3,6.44
C38,C4,17.43
C38,C5,27.65
C38,C6,22.98
C38,C7,11.36
C38,C8,17.96
C38,C9,12.05
C38,C10,11.46
C38,C11,6.09
C38,C12,13.77
C38,C13,7.49
C38,C14,12.18
C38,C15,9.64
C38,C16,7.29
C38,C17,7.09
C38,C18,9.18
C38,C19,11.18
C38,C20,13.58
C38,C21,10.52
C38,C22,10.84
C39,CD1,16.9
C39,CD2,15.84
C39,CD3,20.55
C39,CD4,13.32
C39,CD5,8.76
C39,CD6,5.25
C39,CD7,2.24
C39,CD8,8.06
C39,CD9,15.44
C39,CD10,13.53
C39,CD11,4.29
C39,CD12,9.2
C39,C1,10.0
C39,C2,18.85
C39,C3,7.61
C39,C4,16.43
C39,C5,26.65
C39,C6,21.98
C39,C7,13.71
C39,C8,19.13
C39,C9,14.39
C39,C10,5.9
C39,C11,9.79
C39,C12,9.24
C39,C13,9.0
C39,C14,7.16
C39,C15,5.07
C39,C16,8.46
C39,C17,8.0
C39,C18,9.02
C39,C19,13.22
C39,C20,9.71
C39,C21,12.87
C39,C22,9.11
C40,CD1,9.86
C40,CD2,22.23
C40,CD3,17.33
C40,CD4,6.28
C40,CD5,11.59
C40,CD6,8.02
C40,CD7,10.34
C40,CD8,5.53
C40,CD9,8.4
C40,CD10,19.92
C40,CD11,5.81
C40,CD12,15.53
C40,C1,12.07
C40,C2,15.63
C40,C3,12.11
C40,C4,13.21
C40,C5,23.43
C40,C6,18.76
C40,C7,6.67
C40,C8,24.7
C40,C9,7.35
C40,C10,4.37
C40,C11,11.34
C40,C12,6.69
C40,C13,13.5
C40,C14,5.1
C40,C15,11.41
C40,C16,12.97
C40,C17,12.51
C40,C18,12.43
C40,C19,17.72
C40,C20,6.49
C40,C21,5.69
C40,C22,14.09
C41,CD1,11.5
C41,CD2,23.53
C41,CD3,14.5
C41,CD4,7.55
C41,CD5,19.31
C41,CD6,13.01
C41,CD7,11.63
C41,CD8,11.31
C41,CD9,11.27
C41,CD10,21.22
C41,CD11,10.8
C41,CD12,16.83
C41,C1,17.12
C41,C2,9.35
C41,C3,18.16
C41,C4,10.38
C41,C5,20.6
C41,C6,15.93
C41,C7,8.5
C41,C8,26.31
C41,C9,10.23
C41,C10,4.18
C41,C11,16.39
C41,C12,3.58
C41,C13,19.55
C41,C14,3.79
C41,C15,12.7
C41,C16,19.02
C41,C17,18.55
C41,C18,16.64
C41,C19,23.77
C41,C20,1.3
C41,C21,10.74
C41,C22,16.74
C42,CD1,26.32
C42,CD2,20.5
C42,CD3,33.31
C42,CD4,22.74
C42,CD5,8.45
C42,CD6,11.94
C42,CD7,13.95
C42,CD8,15.62
C42,CD9,24.86
C42,CD10,16.08
C42,CD11,16.36
C42,CD12,12.08
C42,C1,13.97
C42,C2,31.61
C42,C3,7.61
C42,C4,29.19
C42,C5,39.42
C42,C6,34.74
C42,C7,23.13
C42,C8,16.2
C42,C9,23.81
C42,C10,21.95
C42,C11,13.45
C42,C12,24.26
C42,C13,5.73
C42,C14,22.67
C42,C15,14.62
C42,C16,7.82
C42,C17,6.7
C42,C18,9.71
C42,C19,1.92
C42,C20,22.96
C42,C21,22.29
C42,C22,10.97
C43,CD1,15.66
C43,CD2,17.28
C43,CD3,18.74
C43,CD4,12.08
C43,CD5,11.01
C43,CD6,6.38
C43,CD7,5.39
C43,CD8,6.85
C43,CD9,14.19
C43,CD10,14.97
C43,CD11,4.16
C43,CD12,10.58
C43,C1,11.25
C43,C2,17.04
C43,C3,9.86
C43,C4,14.62
C43,C5,24.84
C43,C6,20.17
C43,C7,12.46
C43,C8,20.06
C43,C9,13.14
C43,C10,4.09
C43,C11,10.53
C43,C12,7.43
C43,C13,11.25
C43,C14,5.35
C43,C15,6.46
C43,C16,10.72
C43,C17,10.26
C43,C18,10.4
C43,C19,15.47
C43,C20,7.91
C43,C21,11.49
C43,C22,10.5
C44,CD1,13.35
C44,CD2,22.77
C44,CD3,20.34
C44,CD4,9.77
C44,CD5,10.45
C44,CD6,6.54
C44,CD7,9.17
C44,CD8,2.41
C44,CD9,11.88
C44,CD10,20.46
C44,CD11,3.13
C44,CD12,15.18
C44,C1,5.85
C44,C2,18.64
C44,C3,9.3
C44,C4,16.22
C44,C5,26.44
C44,C6,21.77
C44,C7,10.15
C44,C8,20.82
C44,C9,10.84
C44,C10,10.25
C44,C11,5.13
C44,C12,12.56
C44,C13,8.14
C44,C14,10.97
C44,C15,12.0
C44,C16,10.15
C44,C17,12.77
C44,C18,12.18
C44,C19,11.83
C44,C20,12.37
C44,C21,9.32
C44,C22,13.85
C45,CD1,21.2
C45,CD2,9.34
C45,CD3,27.63
C45,CD4,17.62
C45,CD5,1.63
C45,CD6,7.42
C45,CD7,7.08
C45,CD8,12.41
C45,CD9,19.74
C45,CD10,7.88
C45,CD11,9.09
C45,CD12,3.19
C45,C1,12.08
C45,C2,25.93
C45,C3,4.03
C45,C4,23.51
C45,C5,33.74
C45,C6,29.06
C45,C7,18.01
C45,C8,14.1
C45,C9,18.69
C45,C10,14.68
C45,C11,11.88
C45,C12,16.99
C45,C13,8.99
C45,C14,15.4
C45,C15,5.56
C45,C16,2.63
C45,C17,8.0
C45,C18,1.04
C45,C19,9.64
C45,C20,15.69
C45,C21,17.03
C45,C22,2.69
C46,CD1,26.66
C46,CD2,15.77
C46,CD3,33.65
C46,CD4,23.08
C46,CD5,6.96
C46,CD6,12.28
C46,CD7,14.56
C46,CD8,17.31
C46,CD9,25.19
C46,CD10,11.36
C46,CD11,15.93
C46,CD12,8.9
C46,C1,17.33
C46,C2,31.95
C46,C3,8.79
C46,C4,29.53
C46,C5,39.75
C46,C6,35.08
C46,C7,23.46
C46,C8,9.76
C46,C9,24.15
C46,C10,21.52
C46,C11,17.13
C46,C12,23.83
C46,C13,8.76
C46,C14,22.24
C46,C15,11.44
C46,C16,6.98
C46,C17,9.12
C46,C18,6.52
C46,C19,4.95
C46,C20,22.53
C46,C21,22.63
C46,C22,7.78
C47,CD1,9.01
C47,CD2,30.35
C47,CD3,8.18
C47,CD4,7.9
C47,CD5,26.71
C47,CD6,22.81
C47,CD7,18.46
C47,CD8,19.48
C47,CD9,12.73
C47,CD10,28.04
C47,CD11,19.39
C47,CD12,23.66
C47,C1,24.81
C47,C2,2.1
C47,C3,25.56
C47,C4,2.0
C47,C5,14.28
C47,C6,9.6
C47,C7,6.91
C47,C8,33.13
C47,C9,15.35
C47,C10,12.67
C47,C11,24.09
C47,C12,10.13
C47,C13,26.61
C47,C14,13.4
C47,C15,19.53
C47,C16,26.42
C47,C17,25.38
C47,C18,23.47
C47,C19,30.3
C47,C20,8.31
C47,C21,18.43
C47,C22,23.57
C48,CD1,20.3
C48,CD2,11.72
C48,CD3,27.29
C48,CD4,16.72
C48,CD5,0.98
C48,CD6,5.93
C48,CD7,8.2
C48,CD8,10.95
C48,CD9,18.84
C48,CD10,10.27
C48,CD11,10.61
C48,CD12,5.58
C48,C1,10.98
C48,C2,25.6
C48,C3,2.44
C48,C4,23.17
C48,C5,33.4
C48,C6,28.72
C48,C7,17.11
C48,C8,11.81
C48,C9,17.79
C48,C10,16.2
C48,C11,10.77
C48,C12,18.51
C48,C13,6.76
C48,C14,16.92
C48,C15,9.38
C48,C16,1.14
C48,C17,5.76
C48,C18,2.58
C48,C19,10.39
C48,C20,17.21
C48,C21,16.27
C48,C22,4.24
C49,CD1,4.75
C49,CD2,31.51
C49,CD3,15.58
C49,CD4,8.72
C49,CD5,21.31
C49,CD6,17.75
C49,CD7,19.61
C49,CD8,10.84
C49,CD9,2.41
C49,CD10,29.2
C49,CD11,12.96
C49,CD12,24.81
C49,C1,14.3
C49,C2,17.77
C49,C3,21.83
C49,C4,15.35
C49,C5,14.8
C49,C6,17.01
C49,C7,9.1
C49,C8,34.43
C49,C9,3.61
C49,C10,13.65
C49,C11,13.58
C49,C12,15.96
C49,C13,16.59
C49,C14,14.37
C49,C15,20.69
C49,C16,22.69
C49,C17,22.23
C49,C18,22.15
C49,C19,20.28
C49,C20,12.61
C49,C21,6.27
C49,C22,24.73
C50,CD1,14.93
C50,CD2,18.32
C50,CD3,18.32
C50,CD4,11.35
C50,CD5,11.2
C50,CD6,6.52
C50,CD7,6.42
C50,CD8,6.13
C50,CD9,13.47
C50,CD10,16.01
C50,CD11,4.31
C50,CD12,11.62
C50,C1,11.4
C50,C2,16.62
C50,C3,10.05
C50,C4,14.19
C50,C5,24.42
C50,C6,19.74
C50,C7,11.74
C50,C8,21.1
C50,C9,12.42
C50,C10,3.66
C50,C11,10.67
C50,C12,7.0
C50,C13,11.44
C50,C14,4.92
C50,C15,7.5
C50,C16,10.91
C50,C17,10.45
C50,C18,11.43
C50,C19,15.66
C50,C20,7.48
C50,C21,10.76
C50,C22,11.54
C51,CD1,22.78
C51,CD2,15.81
C51,CD3,29.77
C51,CD4,19.2
C51,CD5,3.08
C51,CD6,8.4
C51,CD7,10.68
C51,CD8,13.43
C51,CD9,21.31
C51,CD10,11.4
C51,CD11,13.09
C51,CD12,5.82
C51,C1,13.45
C51,C2,28.07
C51,C3,4.91
C51,C4,25.65
C51,C5,35.87
C51,C6,31.2
C51,C7,19.59
C51,C8,11.52
C51,C9,20.27
C51,C10,18.68
C51,C11,13.25
C51,C12,20.99
C51,C13,6.73
C51,C14,19.4
C51,C15,8.36
C51,C16,3.1
C51,C17,8.24
C51,C18,3.44
C51,C19,6.3
C51,C20,19.69
C51,C21,18.75
C51,C22,4.7
C52,CD1,30.29
C52,CD2,6.25
C52,CD3,31.37
C52,CD4,26.71
C52,CD5,12.12
C52,CD6,15.7
C52,CD7,11.43
C52,CD8,21.4
C52,CD9,28.83
C52,CD10,4.47
C52,CD11,17.63
C52,CD12,7.84
C52,C1,20.45
C52,C2,29.67
C52,C3,13.95
C52,C4,27.25
C52,C5,37.47
C52,C6,32.79
C52,C7,27.1
C52,C8,17.51
C52,C9,27.78
C52,C10,16.68
C52,C11,20.25
C52,C12,16.11
C52,C13,19.45
C52,C14,14.91
C52,C15,9.41
C52,C16,12.65
C52,C17,18.45
C52,C18,9.66
C52,C19,17.82
C52,C20,20.53
C52,C21,26.12
C52,C22,9.67
C53,CD1,29.22
C53,CD2,4.47
C53,CD3,30.3
C53,CD4,25.64
C53,CD5,11.05
C53,CD6,14.63
C53,CD7,10.36
C53,CD8,20.33
C53,CD9,27.76
C53,CD10,2.69
C53,CD11,16.56
C53,CD12,5.82
C53,C1,19.38
C53,C2,28.6
C53,C3,12.88
C53,C4,26.18
C53,C5,36.4
C53,C6,31.72
C53,C7,26.03
C53,C8,15.74
C53,C9,26.71
C53,C10,15.61
C53,C11,19.18
C53,C12,15.04
C53,C13,18.38
C53,C14,13.84
C53,C15,8.34
C53,C16,11.58
C53,C17,17.38
C53,C18,8.59
C53,C19,16.75
C53,C20,19.46
C53,C21,25.05
C53,C22,7.35
C54,CD1,27.25
C54,CD2,6.55
C54,CD3,28.33
C54,CD4,23.68
C54,CD5,8.46
C54,CD6,12.66
C54,CD7,8.39
C54,CD8,18.37
C54,CD9,25.79
C54,CD10,4.24
C54,CD11,14.6
C54,CD12,3.7
C54,C1,17.41
C54,C2,26.63
C54,C3,10.3
C54,C4,24.21
C54,C5,34.43
C54,C6,29.76
C54,C7,24.06
C54,C8,12.56
C54,C9,24.74
C54,C10,13.64
C54,C11,17.21
C54,C12,13.07
C54,C13,14.62
C54,C14,11.87
C54,C15,6.37
C54,C16,9.0
C54,C17,13.62
C54,C18,6.01
C54,C19,14.16
C54,C20,17.49
C54,C21,23.08
C54,C22,5.22
C55,CD1,17.07
C55,CD2,19.89
C55,CD3,24.06
C55,CD4,13.49
C55,CD5,5.53
C55,CD6,2.69
C55,CD7,7.07
C55,CD8,7.78
C55,CD9,15.61
C55,CD10,17.46
C55,CD11,7.17
C55,CD12,10.06
C55,C1,6.13
C55,C2,22.36
C55,C3,4.37
C55,C4,19.94
C55,C5,30.16
C55,C6,25.49
C55,C7,13.88
C55,C8,15.9
C55,C9,14.56
C55,C10,14.55
C55,C11,5.61
C55,C12,16.87
C55,C13,4.29
C55,C14,15.28
C55,C15,9.07
C55,C16,5.23
C55,C17,5.02
C55,C18,8.88
C55,C19,7.98
C55,C20,15.56
C55,C21,13.04
C55,C22,9.44
C56,CD1,21.23
C56,CD2,13.12
C56,CD3,27.65
C56,CD4,17.65
C56,CD5,4.12
C56,CD6,6.63
C56,CD7,2.65
C56,CD8,12.57
C56,CD9,19.76
C56,CD10,10.81
C56,CD11,8.8
C56,CD12,4.76
C56,C1,11.38
C56,C2,25.96
C56,C3,4.42
C56,C4,23.53
C56,C5,33.76
C56,C6,29.08
C56,C7,18.03
C56,C8,16.4
C56,C9,18.72
C56,C10,10.6
C56,C11,11.18
C56,C12,13.04
C56,C13,8.25
C56,C14,11.86
C56,C15,3.09
C56,C16,4.28
C56,C17,7.26
C56,C18,3.79
C56,C19,11.94
C56,C20,15.71
C56,C21,17.06
C56,C22,4.26
CD1,C57,16.95
CD1,C58,3.16
CD1,C59,22.97
CD1,C60,28.71
CD1,C61,2.9
CD1,C62,11.21
CD1,C63,12.25
CD1,C64,21.66
CD1,C65,25.73
CD1,C66,6.62
CD1,C67,8.29
CD1,C68,29.02
CD1,C69,14.66
CD1,C70,29.38
CD1,C71,7.12
CD1,C72,13.43
CD1,C73,25.48
CD1,C74,8.74
CD1,C75,19.48
CD1,C76,26.06
CD1,C77,16.39
CD1,C78,10.29
CD1,C79,26.5
CD1,C80,27.21
CD1,C81,13.6
CD1,C82,12.64
CD1,C83,28.86
CD1,C84,20.14
CD1,C85,18.07
CD1,C86,33.11
CD1,C87,22.68
CD1,C88,30.65
CD1,C89,26.72
CD1,C90,14.92
CD2,C57,22.3
CD2,C58,31.88
CD2,C59,11.06
CD2,C60,14.7
CD2,C61,36.56
CD2,C62,24.95
CD2,C63,22.62
CD2,C64,20.43
CD2,C65,18.97
CD2,C66,29.64
CD2,C67,30.76
CD2,C68,6.21
CD2,C69,20.99
CD2,C70,4.62
CD2,C71,34.27
CD2,C72,18.84
CD2,C73,10.48
CD2,C74,25.92
CD2,C75,25.88
CD2,C76,18.6
CD2,C77,39.76
CD2,C78,25.93
CD2,C79,6.07
CD2,C80,7.38
CD2,C81,21.25
CD2,C82,21.17
CD2,C83,4.97
CD2,C84,13.69
CD2,C85,17.91
CD2,C86,8.02
CD2,C87,23.27
CD2,C88,10.42
CD2,C89,10.44
CD2,C90,19.6
CD3,C57,28.1
CD3,C58,11.36
CD3,C59,28.85
CD3,C60,37.4
CD3,C61,16.62
CD3,C62,25.28
CD3,C63,18.1
CD3,C64,35.24
CD3,C65,39.89
CD3,C66,11.16
CD3,C67,14.69
CD3,C68,34.9
CD3,C69,18.6
CD3,C70,35.26
CD3,C71,20.85
CD3,C72,20.58
CD3,C73,31.36
CD3,C74,15.68
CD3,C75,33.56
CD3,C76,39.53
CD3,C77,5.68
CD3,C78,21.44
CD3,C79,32.38
CD3,C80,33.09
CD3,C81,20.75
CD3,C82,19.8
CD3,C83,34.75
CD3,C84,25.29
CD3,C85,29.21
CD3,C86,39.0
CD3,C87,36.26
CD3,C88,36.4
CD3,C89,32.6
CD3,C90,19.63
CD4,C57,13.38
CD4,C58,5.33
CD4,C59,19.4
CD4,C60,25.14
CD4,C61,7.07
CD4,C62,10.57
CD4,C63,7.56
CD4,C64,20.52
CD4,C65,24.6
CD4,C66,6.18
CD4,C67,2.4
CD4,C68,25.45
CD4,C69,6.27
CD4,C70,25.81
CD4,C71,13.86
CD4,C72,9.14
CD4,C73,21.91
CD4,C74,2.85
CD4,C75,18.84
CD4,C76,27.26
CD4,C77,16.3
CD4,C78,6.72
CD4,C79,22.93
CD4,C80,23.64
CD4,C81,9.31
CD4,C82,8.35
CD4,C83,25.29
CD4,C84,16.57
CD4,C85,14.5
CD4,C86,29.54
CD4,C87,21.54
CD4,C88,27.08
CD4,C89,23.15
CD4,C90,11.35
CD5,C57,10.87
CD5,C58,21.16
CD5,C59,4.88
CD5,C60,6.25
CD5,C61,23.65
CD5,C62,12.04
CD5,C63,21.08
CD5,C64,10.87
CD5,C65,8.73
CD5,C66,23.19
CD5,C67,17.85
CD5,C68,6.5
CD5,C69,16.06
CD5,C70,7.34
CD5,C71,21.36
CD5,C72,18.5
CD5,C73,13.02
CD5,C74,18.3
CD5,C75,12.97
CD5,C76,8.37
CD5,C77,33.31
CD5,C78,13.02
CD5,C79,5.08
CD5,C80,8.71
CD5,C81,19.39
CD5,C82,18.43
CD5,C83,10.36
CD5,C84,11.24
CD5,C85,6.48
CD5,C86,14.61
CD5,C87,11.89
CD5,C88,6.07
CD5,C89,14.26
CD5,C90,16.31
CD6,C57,5.39
CD6,C58,15.25
CD6,C59,8.0
CD6,C60,12.57
CD6,C61,17.74
CD6,C62,6.87
CD6,C63,15.38
CD6,C64,9.93
CD6,C65,14.01
CD6,C66,17.28
CD6,C67,11.95
CD6,C68,12.13
CD6,C69,11.16
CD6,C70,12.97
CD6,C71,15.45
CD6,C72,13.6
CD6,C73,11.15
CD6,C74,12.4
CD6,C75,7.79
CD6,C76,14.7
CD6,C77,27.4
CD6,C78,7.12
CD6,C79,10.71
CD6,C80,12.88
CD6,C81,15.6
CD6,C82,14.64
CD6,C83,14.53
CD6,C84,8.66
CD6,C85,2.89
CD6,C86,18.78
CD6,C87,10.95
CD6,C88,12.16
CD6,C89,12.39
CD6,C90,11.41
CD7,C57,8.27
CD7,C58,20.45
CD7,C59,3.14
CD7,C60,12.44
CD7,C61,23.33
CD7,C62,10.49
CD7,C63,14.24
CD7,C64,13.39
CD7,C65,14.93
CD7,C66,18.2
CD7,C67,16.86
CD7,C68,9.94
CD7,C69,9.55
CD7,C70,10.3
CD7,C71,21.05
CD7,C72,10.42
CD7,C73,6.3
CD7,C74,14.48
CD7,C75,12.28
CD7,C76,14.56
CD7,C77,28.32
CD7,C78,12.03
CD7,C79,7.42
CD7,C80,8.04
CD7,C81,13.66
CD7,C82,12.7
CD7,C83,9.69
CD7,C84,4.63
CD7,C85,4.11
CD7,C86,13.94
CD7,C87,14.41
CD7,C88,11.43
CD7,C89,7.54
CD7,C90,8.17
CD8,C57,6.43
CD8,C58,14.44
CD8,C59,13.36
CD8,C60,17.82
CD8,C61,16.93
CD8,C62,2.96
CD8,C63,14.57
CD8,C64,13.41
CD8,C65,17.48
CD8,C66,16.47
CD8,C67,11.13
CD8,C68,17.38
CD8,C69,10.34
CD8,C70,18.21
CD8,C71,14.64
CD8,C72,12.79
CD8,C73,15.82
CD8,C74,11.58
CD8,C75,11.23
CD8,C76,19.94
CD8,C77,26.59
CD8,C78,3.31
CD8,C79,15.95
CD8,C80,17.55
CD8,C81,14.78
CD8,C82,13.83
CD8,C83,19.2
CD8,C84,10.51
CD8,C85,8.13
CD8,C86,23.45
CD8,C87,14.43
CD8,C88,16.39
CD8,C89,17.06
CD8,C90,10.6
CD9,C57,14.19
CD9,C58,7.27
CD9,C59,20.22
CD9,C60,25.95
CD9,C61,3.3
CD9,C62,8.13
CD9,C63,11.41
CD9,C64,18.57
CD9,C65,22.65
CD9,C66,13.31
CD9,C67,7.89
CD9,C68,26.26
CD9,C69,11.91
CD9,C70,26.62
CD9,C71,5.15
CD9,C72,14.35
CD9,C73,22.72
CD9,C74,8.35
CD9,C75,16.4
CD9,C76,22.97
CD9,C77,23.43
CD9,C78,7.4
CD9,C79,23.74
CD9,C80,24.46
CD9,C81,12.74
CD9,C82,11.79
CD9,C83,26.11
CD9,C84,17.38
CD9,C85,17.28
CD9,C86,30.36
CD9,C87,19.59
CD9,C88,27.9
CD9,C89,23.96
CD9,C90,12.16
CD10,C57,18.58
CD10,C58,29.64
CD10,C59,8.82
CD10,C60,10.83
CD10,C61,33.64
CD10,C62,21.56
CD10,C63,20.38
CD10,C64,17.34
CD10,C65,15.87
CD10,C66,27.4
CD10,C67,27.98
CD10,C68,3.97
CD10,C69,18.75
CD10,C70,3.35
CD10,C71,31.35
CD10,C72,16.6
CD10,C73,8.24
CD10,C74,23.68
CD10,C75,22.58
CD10,C76,15.51
CD10,C77,37.52
CD10,C78,23.26
CD10,C79,4.81
CD10,C80,5.61
CD10,C81,19.01
CD10,C82,18.93
CD10,C83,3.19
CD10,C84,11.45
CD10,C85,14.42
CD10,C86,6.24
CD10,C87,19.4
CD10,C88,6.55
CD10,C89,9.48
CD10,C90,17.36
CD11,C57,5.65
CD11,C58,13.13
CD11,C59,11.34
CD11,C60,15.91
CD11,C61,15.62
CD11,C62,3.67
CD11,C63,13.26
CD11,C64,12.92
CD11,C65,18.39
CD11,C66,15.16
CD11,C67,9.83
CD11,C68,15.47
CD11,C69,9.04
CD11,C70,16.3
CD11,C71,13.33
CD11,C72,11.49
CD11,C73,14.58
CD11,C74,10.28
CD11,C75,11.07
CD11,C76,18.03
CD11,C77,25.28
CD11,C78,5.0
CD11,C79,14.04
CD11,C80,16.32
CD11,C81,13.48
CD11,C82,12.52
CD11,C83,17.97
CD11,C84,10.24
CD11,C85,6.22
CD11,C86,22.22
CD11,C87,13.94
CD11,C88,17.85
CD11,C89,15.82
CD11,C90,9.29
CD12,C57,13.23
CD12,C58,25.47
CD12,C59,4.31
CD12,C60,8.61
CD12,C61,28.36
CD12,C62,16.76
CD12,C63,19.26
CD12,C64,12.56
CD12,C65,11.09
CD12,C66,23.23
CD12,C67,22.57
CD12,C68,2.25
CD12,C69,14.57
CD12,C70,3.08
CD12,C71,26.08
CD12,C72,15.44
CD12,C73,8.48
CD12,C74,19.5
CD12,C75,17.69
CD12,C76,10.73
CD12,C77,33.35
CD12,C78,17.74
CD12,C79,0.78
CD12,C80,5.62
CD12,C81,18.68
CD12,C82,17.72
CD12,C83,5.93
CD12,C84,9.72
CD12,C85,8.84
CD12,C86,11.07
CD12,C87,15.42
CD12,C88,4.22
CD12,C89,9.72
CD12,C90,13.19
C1,C57,10.92
C1,C58,19.38
C1,C59,12.49
C1,C60,16.01
C1,C61,18.75
C1,C62,6.67
C1,C63,19.51
C1,C64,10.81
C1,C65,14.89
C1,C66,21.41
C1,C67,16.07
C1,C68,16.61
C1,C69,15.29
C1,C70,17.44
C1,C71,16.47
C1,C72,17.73
C1,C73,15.63
C1,C74,16.53
C1,C75,2.67
C1,C76,15.21
C1,C77,31.53
C1,C78,8.54
C1,C79,15.18
C1,C80,17.37
C1,C81,19.73
C1,C82,18.77
C1,C83,19.02
C1,C84,13.15
C1,C85,7.37
C1,C86,23.27
C1,C87,11.83
C1,C88,15.84
C1,C89,16.87
C1,C90,15.54
C2,C57,23.86
C2,C58,7.12
C2,C59,21.92
C2,C60,30.47
C2,C61,12.87
C2,C62,21.04
C2,C63,7.06
C2,C64,31.0
C2,C65,32.96
C2,C66,4.47
C2,C67,9.58
C2,C68,27.97
C2,C69,11.67
C2,C70,28.33
C2,C71,17.09
C2,C72,11.26
C2,C73,24.43
C2,C74,10.56
C2,C75,29.32
C2,C76,32.6
C2,C77,14.96
C2,C78,17.2
C2,C79,25.45
C2,C80,26.16
C2,C81,8.23
C2,C82,10.46
C2,C83,27.82
C2,C84,19.09
C2,C85,22.47
C2,C86,32.07
C2,C87,32.02
C2,C88,29.46
C2,C89,25.67
C2,C90,14.51
C3,C57,10.53
C3,C58,20.81
C3,C59,9.41
C3,C60,6.87
C3,C61,23.31
C3,C62,11.7
C3,C63,20.74
C3,C64,6.91
C3,C65,9.36
C3,C66,22.84
C3,C67,17.51
C3,C68,8.45
C3,C69,15.72
C3,C70,9.28
C3,C71,21.02
C3,C72,18.16
C3,C73,12.68
C3,C74,17.96
C3,C75,12.63
C3,C76,9.0
C3,C77,32.96
C3,C78,12.68
C3,C79,7.02
C3,C80,8.84
C3,C81,19.05
C3,C82,18.09
C3,C83,10.49
C3,C84,10.9
C3,C85,6.14
C3,C86,14.74
C3,C87,11.55
C3,C88,7.66
C3,C89,13.92
C3,C90,15.97
C4,C57,17.9
C4,C58,5.66
C4,C59,19.98
C4,C60,28.53
C4,C61,11.41
C4,C62,15.09
C4,C63,4.99
C4,C64,25.04
C4,C65,31.02
C4,C66,2.29
C4,C67,5.82
C4,C68,26.03
